attributeName	code	definition
Gender	unsexed	unsexed
Gender	female	female
Gender	male	male
Gender	mixed	mixed
Gender	juvenile	juvenile
LengthType	FL	FL
LengthType	TL	TL
LengthType	SL	SL
Country	USA	USA
Country	Canada	Canada
Country	Belgium	Belgium
Country	UK Engld Wal	UK Engld Wal
Country	Norway	Norway
Country	France	France
Country	UK	UK
Country	Finland	Finland
Country	Greece	Greece
Country	Spain	Spain
Country	Russia	Russia
Country	Turkey	Turkey
Country	Poland	Poland
Country	Portugal	Portugal
Country	Italy	Italy
Country	Iran	Iran
Country	UK Scotland	UK Scotland
Country	Ukraine	Ukraine
Country	Japan	Japan
Country	China	China
Country	Laos	Laos
Country	Kenya	Kenya
Country	Iraq	Iraq
Country	Philippines	Philippines
Country	South Africa	South Africa
Country	SouthKorea	SouthKorea
Country	Brazil	Brazil
Country	Montenegro	Montenegro
Country	Mexico	Mexico
Country	New Caledonia	New Caledonia
Country	Croatia	Croatia
Country	Australia	Australia
Country	Estonia	Estonia
Ref	"Kimmerer et al., 2015"	"Kimmerer et al., 2015"
Ref	"Carlander, 1977"	"Carlander, 1977"
Ref	"Klassen et al., 2014"	"Klassen et al., 2014"
Ref	"Carlander, 1969"	"Carlander, 1969"
Ref	"Bayer, 1980"	"Bayer, 1980"
Ref	"Verreycken and Belpaire, 2011"	"Verreycken and Belpaire, 2011"
Ref	"Frost and Smyly, 1952"	"Frost and Smyly, 1952"
Ref	"Jensen, 1977"	"Jensen, 1977"
Ref	"Palomares, 1991"	"Palomares, 1991"
Ref	"Sigler, 1952"	"Sigler, 1952"
Ref	"Bohling et al., 1991"	"Bohling et al., 1991"
Ref	"Kleanthidis et al., 1999"	"Kleanthidis et al., 1999"
Ref	"Papageorgiou et al., 1983"	"Papageorgiou et al., 1983"
Ref	"Crisp, 1994"	"Crisp, 1994"
Ref	"Crisp and Beaumont, 1995"	"Crisp and Beaumont, 1995"
Ref	"Oscoz and Escala, 2005"	"Oscoz and Escala, 2005"
